customer_id,customer_name,phone,email,gender,age,home_geo_id,home_city,signup_date,membership_tier
5001,Diya Gupta,6969290033,diya.gupta5001@swiggy.com,F,30,13,Bangalore,2024-06-26 00:00:00,NONE
5002,Vihaan Nair,7948229307,vihaan.nair5002@swiggy.com,M,34,15,Bangalore,2023-09-10 00:00:00,ONE_PLUS
5003,Aadhya Patel,7538114989,aadhya.patel5003@swiggy.com,M,18,20,Bangalore,2024-09-18 00:00:00,NONE
5004,Vivaan Bose,8818041319,vivaan.bose5004@swiggy.com,M,21,14,Bangalore,2025-10-21 00:00:00,NONE
5005,Kiran Singh,7971177568,kiran.singh5005@swiggy.com,M,35,14,Bangalore,2025-08-04 00:00:00,NONE
5006,Ira Reddy,6016310765,ira.reddy5006@swiggy.com,F,26,20,Bangalore,2025-03-29 00:00:00,NONE
5007,Meera Chowdhury,6151264373,meera.chowdhury5007@swiggy.com,M,24,17,Bangalore,2023-10-01 00:00:00,ONE_LITE
5008,Suresh Singh,9621327001,suresh.singh5008@swiggy.com,M,18,14,Bangalore,2024-08-08 00:00:00,ONE_LITE
5009,Nikhil Gowda,9211938017,nikhil.gowda5009@swiggy.com,M,28,13,Bangalore,2025-09-23 00:00:00,NONE
5010,Reyansh Das,7135849164,reyansh.das5010@swiggy.com,M,39,12,Bangalore,2024-12-12 00:00:00,ONE_LITE
5011,Rohit Patel,7636648968,rohit.patel5011@swiggy.com,F,37,15,Bangalore,2025-09-08 00:00:00,ONE
5012,Kiara Patel,8779488688,kiara.patel5012@swiggy.com,M,29,16,Bangalore,2025-05-14 00:00:00,ONE_LITE
5013,Anika Pillai,8754019652,anika.pillai5013@swiggy.com,F,31,11,Bangalore,2023-11-03 00:00:00,NONE
5014,Dhruv Jain,9036209118,dhruv.jain5014@swiggy.com,F,41,18,Bangalore,2023-10-16 00:00:00,ONE_LITE
5015,Sai Khan,8423668825,sai.khan5015@swiggy.com,F,36,15,Bangalore,2024-04-09 00:00:00,NONE
5016,Saanvi Das,7951813742,saanvi.das5016@swiggy.com,M,42,14,Bangalore,2025-01-20 00:00:00,NONE
5017,Rahul Das,6022713261,rahul.das5017@swiggy.com,F,18,13,Bangalore,2025-06-19 00:00:00,NONE
5018,Ananya Khan,7835957857,ananya.khan5018@swiggy.com,F,43,11,Bangalore,2025-01-01 00:00:00,ONE_LITE
5019,Akash Jain,6492638526,akash.jain5019@swiggy.com,M,32,11,Bangalore,2025-04-16 00:00:00,NONE
5020,Nikhil Iyer,8888180187,nikhil.iyer5020@swiggy.com,M,44,12,Bangalore,2025-07-24 00:00:00,ONE_LITE
5021,Neha Rao,6197526616,neha.rao5021@swiggy.com,M,21,12,Bangalore,2023-10-10 00:00:00,ONE_PLUS
5022,Rahul Khan,8913860992,rahul.khan5022@swiggy.com,M,29,20,Bangalore,2024-06-16 00:00:00,NONE
5023,Meera Pillai,6002222950,meera.pillai5023@swiggy.com,F,28,20,Bangalore,2024-05-17 00:00:00,NONE
5024,Ira Das,7563229182,ira.das5024@swiggy.com,F,33,19,Bangalore,2024-11-03 00:00:00,ONE_LITE
5025,Krishna Nair,7752643958,krishna.nair5025@swiggy.com,F,30,14,Bangalore,2024-03-08 00:00:00,ONE
